"DATE","Name","Location","Details"
"1996-08-24","Leanna","Eritrea","Testing"
"1989-06-29","Camlin","Anguilla","Phone Hookup"
"2007-04-23","Lyn","Kuwait","Phone Hookup"
"2006-04-16","Lesa","Mauritius","Testing"
"2007-04-23","Yancy","Paraguay","Documentation"
"1989-06-29","Orane","Turks And Caicos Islands","Training"
"2002-07-15","Carolyn","Mauritius","Documentation"
"2001-06-11","Ade","Bermuda","Admin"
"1999-04-13","Rena","Mauritania","Development work"
"1987-10-07","Nyx","Central African Republic","Documentation"
"2004-08-18","Stormy","Malta","Workshop"
"2004-08-18","Jania","Macedonia","Training"
"1986-04-16","Mikhail","Finland","Testing"
"1993-02-07","Tuyen","Norway","Testing"
"2011-02-04","Haines","Marshall Islands","Training"
