"Contractor","Location","Total Amount"
"Fred","Africa","0"
"Fred","Libya","0"
"Fred","Afghanistan","403.97"
"Fred","Northern Mariana Islands","0"
"Fred","Denmark","0"
"Fred","Eastern Europe","465.1"
"Fred","Andorra","0"
"Fred","Aland Islands","233.89999999999998"
"Fred","Jordan","0"
"Fred","Slovakia","0"
"Fred","Columbia","0"
"Fred","Country_Desc","0"
"Fred","Burkina Faso","74.98"
"Fred","Sao Tome And Principe","0"
"Fred","Mexico","0"
"Fred","Bosnia And Herzegovina","0"
"Fred","Sudan","0"
"Fred","Estonia","0"
"Fred","Lesotho","0"
"Fred","Senegal","0"
"Fred","Asia","0"
"Fred","Hungary","402.99"
"Fred","Laos","0"
"Fred","Turkey","0"
"Fred","Lithuania","259.9"
"Fred","South America","479.98"
"Fred","The West","208.95"
"Fred","Portugal","0"
"Fred","Niger","322.0"
"Fred","Balkans","246.95"
"Fred","Yemen","463.98"
"Fred","Poland","0"
"Fred","West Bank","0"
"Fred","Bahrain","366.95"
"Fred","Baghdad","0"
"Fred","Iceland","0"
"Fred","Persian Gulf","0"
"Fred","Angola","0"
"Fred","Western Sahara","0"
"Fred","Tonga","280.99"
"Fred","Kenya","358.0"
"Fred","Saint Helena","366.5"
"Fred","Falkland Islands","0"
"Fred","Sweden","0"
"Fred","Kuwait","0"
"Fred","West Africa","426.0"
"Fred","People'S Republic Of The Congo","0"
"Fred","Myanmar","90.99"
"Fred","Morocco","0"
"Fred","Saudi Arabia","702.09"
"Fred","Seychelles","0"
"Fred","Turks And Caicos Islands","0"
"Fred","South Africa","134.98"
"Fred","Latvia","0"
"Fred","Occupied Palestinian Territory","123.0"
"Fred","Ecuador","244.5"
"Fred","Micronesia","0"
"Fred","Benin","0"
"Fred","Netherlands","0"
"Fred","Central Africa","0"
"Fred","Ghana","188.95"
"Fred","Suriname","0"
"Fred","Location","0"
"Fred","British Virgin Islands","463.95"
"Fred","Luxembourg","0"
"Fred","East Timor","36.0"
"Fred","Qatar","0"
"Fred","Wallis And Futuna Islands","0"
"Fred","Tajikistan","334.1"
"Fred","Guyana","0"
"Fred","Mediterranean","625.94"
"Fred","Czech Republic","0"
"Fred","Caribbean","0"
"Fred","Caucasus","0"
"Fred","Moldova","0"
"Fred","Malta","0"
"Fred","Palau","312.95"
"Fred","Oman","0"
"Fred","Vatican City","0"
"Fred","Montenegro","40.95"
"Fred","Panama","0"
"Fred","Turkmenistan","0"
"Fred","Nicaragua","195.0"
"Fred","North Africa","0"
"Fred","Chile","88.99"
"Fred","Central Asia","492.04999999999995"
"Fred","Mauritius","0"
"Fred","Tuvalu","0"
"Fred","French Polynesia","487.0"
"Fred","Equatorial Guinea","148.0"
"Fred","Ivory Coast","526.9399999999999"
"Fred","Isle Of Man","0"
"Fred","Tunisia","403.98"
"Fred","United States","0"
"Fred","Syria","51.0"
"Fred","Bhutan","400.95"
"Fred","Puerto Rico","281.98"
"Fred","French Guiana","481.98"
"Fred","Guinea","0"
"Fred","Saint Lucia","0"
"Fred","Georgia","0"
"Fred","Guinea-Bissau","138.95"
"Fred","Solomon Islands","0"
"Fred","Latin America","478.05"
"Fred","Jamaica","0"
"Fred","Grenada","0"
"Fred","Singapore","0"
"Fred","Monaco","265.98"
"Fred","North Korea","0"
"Fred","Ukraine","0"
"Fred","Vietnam","0"
"Fred","Papua New Guinea","270.1"
"Fred","Zimbabwe","0"
"Fred","Bermuda","0"
"Fred","Croatia","0"
"Fred","Lebanon","0"
"Fred","Saint Pierre And Miquelon","0"
"Fred","Maldives","0"
"Fred","Uganda","0"
"Fred","Iran","0"
"Fred","Svalbard And Jan Mayen Islands","174.0"
"Fred","Hong Kong","0"
"Fred","Southeast Asia","532.0"
"Fred","Cameroon","0"
"Fred","Israel","0"
"Fred","Belgium","205.0"
"Fred","Mozambique","0"
"Fred","Mali","42.95"
"Fred","Vanuatu","0"
"Fred","Venezuela","0"
"Fred","New Caledonia","0"
"Fred","Nauru","58.5"
"Fred","China","0"
"Fred","Saint Vincent And The Grenadines","0"
"Fred","Eritrea","0"
"Fred","Mauritania","0"
"Fred","Azerbaijan","0"
"Fred","Samoa","425.95"
"Fred","Antigua And Barbuda","9.98"
"Fred","Bahamas","293.95"
"Fred","Botswana","0"
"Fred","Montserrat","0"
"Fred","Somalia","0"
"Fred","Germany","0"
"Fred","Guadeloupe","0"
"Fred","Zambia","0"
"Fred","Runion","0"
"Fred","Cuba","749.6"
"Fred","Central African Republic","0"
"Fred","Brazil","414.99"
"Fred","Central Europe","0"
"Fred","Kiribati","0"
"Fred","Tanzania","0"
"Fred","Rwanda","0"
"Fred","Albania","0"
"Fred","India","225.95"
"Fred","Ethiopia","0"
"Fred","American Samoa","0"
"Fred","Brunei Darussalam","0"
"Fred","Dominica","0"
"Fred","Indonesia","0"
"Fred","Tokelau","0"
"Fred","Egypt","300.95"
"Fred","Malawi","0"
"Fred","North America","0"
"Fred","Martinique","0"
"Fred","Kyrgyzstan","0"
"Fred","Uruguay","425.1"
"Fred","Peru","0"
"Fred","Pitcairn","43.0"
"Fred","Belarus","0"
"Fred","Liberia","0"
"Fred","Nigeria","0"
"Fred","Europe","0"
"Fred","Sri Lanka","0"
"Fred","Cook Islands","0"
"Fred","Argentina","0"
"Fred","Mayotte","0"
"Fred","Cape Verde","444.0"
"Fred","Iraq","0"
"Fred","Cayman Islands","442.0"
"Fred","Slovenia","0"
"Fred","Philippines","0"
"Fred","Comoros","0"
"Fred","Liechtenstein","557.0"
"Fred","Honduras","441.99"
"Fred","Nepal","0"
"Fred","United Arab Emirates","0"
"Fred","Marshall Islands","0"
"Fred","Austria","0"
"Fred","Belize","140.98"
"Fred","Macao","0"
"Fred","Eastern Africa","0"
"Fred","Label","0"
"Fred","Greece","0"
"Fred","Gambia","353.95"
"Fred","Trinidad And Tobago","82.98"
"Fred","Armenia","478.99"
"Fred","Aruba","0"
"Fred","Ireland","0"
"Fred","Guam","0"
"Fred","Scandinavia","911.45"
"Fred","Macedonia","0"
